CaseID,ActivityID,CompleteTimestamp,time
2,1,2012-04-03 16:55:38,"0,0000711"
2,8,2012-04-03 16:55:53,"0,8249701"
2,6,2012-04-05 17:15:52,"0,0000000"
3,1,2010-10-29 18:14:06,"2,1682851"
3,8,2010-11-04 01:16:11,"0,0014508"
3,6,2010-11-04 01:21:17,"0,0000000"
4,1,2010-12-15 23:31:53,"0,2984797"
4,8,2010-12-16 17:01:07,"0,0020482"
4,6,2010-12-16 17:08:19,"0,0000000"
5,1,2012-04-03 21:08:32,"0,0105303"
5,8,2012-04-03 21:45:33,"0,0005168"
5,6,2012-04-03 21:47:22,"0,0078705"
5,8,2012-04-03 22:15:02,"0,0319844"
5,6,2012-04-04 00:07:28,"0,0000000"
6,1,2011-10-25 23:13:58,"0,0127871"
6,8,2011-10-25 23:58:55,"0,3060514"
6,6,2011-10-26 17:54:46,"0,0000000"
8,1,2012-07-05 16:30:32,"0,0157077"
8,8,2012-07-05 17:25:45,"0,0054097"
8,6,2012-07-05 17:44:46,"0,0000000"
9,3,2010-05-07 21:02:21,"0,0000616"
9,1,2010-05-07 21:02:34,"6,9195194"
9,8,2010-05-24 18:26:28,"0,4976210"
9,6,2010-05-25 23:35:44,"0,0000000"
10,1,2010-02-10 17:50:20,"15,1558600"
10,8,2010-03-19 17:47:06,"0,0000332"
10,6,2010-03-19 17:47:13,"0,0000000"
11,1,2011-12-22 00:24:41,"0,0002513"
11,8,2011-12-22 00:25:34,"0,3158089"
11,6,2011-12-22 18:55:43,"0,0000000"
14,1,2011-07-05 21:47:08,"0,0000664"
14,8,2011-07-05 21:47:22,"0,0014935"
14,6,2011-07-05 21:52:37,"0,0000000"
16,1,2012-02-22 23:16:52,"0,0333546"
16,8,2012-02-23 01:14:07,"0,0027973"
16,8,2012-02-23 01:23:57,"0,2969009"
16,6,2012-02-23 18:47:38,"0,0000000"
17,1,2011-10-14 15:10:47,"7,9559107"
17,8,2011-11-03 01:17:52,"2,8202050"
17,6,2011-11-09 22:31:37,"0,0000000"
19,1,2010-07-07 15:54:04,"0,8582014"
19,8,2010-07-09 18:10:52,"0,0001233"
19,6,2010-07-09 18:11:18,"0,0000000"
21,1,2011-01-15 00:15:21,"5,2033916"
21,8,2011-01-27 17:06:37,"0,0377307"
21,6,2011-01-27 19:19:15,"0,0000000"
22,1,2012-07-23 15:49:04,"0,0000474"
22,8,2012-07-23 15:49:14,"0,0178508"
22,9,2012-07-23 16:51:59,"14,3583750"
22,6,2012-08-27 18:05:23,"0,0000000"
24,1,2010-04-27 17:49:56,"17,2268980"
24,8,2010-06-08 19:06:56,"0,0623947"
24,6,2010-06-08 22:46:16,"0,0000000"
25,1,2010-12-30 18:27:17,"0,0645140"
25,8,2010-12-30 22:14:04,"0,0348528"
25,6,2010-12-31 00:16:35,"0,0000000"
26,1,2011-03-31 15:28:47,"0,0009103"
26,8,2011-03-31 15:31:59,"0,0192589"
26,9,2011-03-31 16:39:41,"0,0400492"
26,8,2011-03-31 19:00:28,"0,0000616"
26,6,2011-03-31 19:00:41,"0,0000000"
27,1,2011-11-24 23:02:16,"0,0000901"
27,8,2011-11-24 23:02:35,"7,2888517"
27,6,2011-12-12 18:04:47,"0,0000000"
29,1,2012-07-30 18:07:32,"0,0000379"
29,8,2012-07-30 18:07:40,"0,0403953"
29,6,2012-07-30 20:29:40,"0,0000000"
30,1,2011-01-21 18:47:20,"6,9560790"
30,8,2011-02-07 18:19:45,"1,2236890"
30,6,2011-02-10 18:01:20,"0,0000000"
32,1,2011-04-27 15:38:44,"0,0874710"
